bin,low_angle,high_angle,low_momentum,high_momentum
1, -1.00, 0.20,    0,  30000
2,  0.20, 0.60,    0,  300
3,  0.20, 0.60,  300,  400
4,  0.20, 0.60,  400,  500
5,  0.20, 0.60,  500,  600
6,  0.20, 0.60,  600,  30000
7,  0.60, 0.70,    0,  300
8,  0.60, 0.70,  300,  400
9,  0.60, 0.70,  400,  500
10, 0.60, 0.70,  500,  600
11, 0.60, 0.70,  600,  800
12, 0.60, 0.70,  800,  30000
13, 0.70, 0.80,    0,  300
14, 0.70, 0.80,  300,  400
15, 0.70, 0.80,  400,  500
16, 0.70, 0.80,  500,  600
17, 0.70, 0.80,  600,  800
18, 0.70, 0.80,  800,  30000
19, 0.80, 0.85,    0,  300
20, 0.80, 0.85,  300,  400
21, 0.80, 0.85,  400,  500
22, 0.80, 0.85,  500,  600
23, 0.80, 0.85,  600,  800
24, 0.80, 0.85,  800,  1000
25, 0.80, 0.85, 1000,  30000
26, 0.85, 0.90,    0,  300
27, 0.85, 0.90,  300,  400
28, 0.85, 0.90,  400,  500
29, 0.85, 0.90,  500,  600
30, 0.85, 0.90,  600,  800
31, 0.85, 0.90,  800,  1000
32, 0.85, 0.90, 1000,  1500
33, 0.85, 0.90, 1500,  30000
34, 0.90, 0.94,    0,  400
35, 0.90, 0.94,  400,  500
36, 0.90, 0.94,  500,  600
37, 0.90, 0.94,  600,  800
38, 0.90, 0.94,  800,  1250
39, 0.90, 0.94, 1250,  2000
40, 0.90, 0.94, 2000,  30000
41, 0.94, 0.98,    0,  400
42, 0.94, 0.98,  400,  500
43, 0.94, 0.98,  500,  600
44, 0.94, 0.98,  600,  800
45, 0.94, 0.98,  800,  1000
46, 0.94, 0.98, 1000,  1250
47, 0.94, 0.98, 1250,  1500
48, 0.94, 0.98, 1500,  2000
49, 0.94, 0.98, 2000,  3000
50, 0.94, 0.98, 3000,  30000
51, 0.98, 1.00,    0,  500
52, 0.98, 1.00,  500,  700
53, 0.98, 1.00,  700,  900
54, 0.98, 1.00,  900,  1250
55, 0.98, 1.00, 1250,  2000
56, 0.98, 1.00, 2000,  3000
57, 0.98, 1.00, 3000,  5000
58, 0.98, 1.00, 5000,  30000
