bin,       data,  nominal_mc
1,  0.03163e-39, 0.02836e-39
2,  1.53954e-39, 1.38888e-39
3,  6.73192e-39, 6.13829e-39
4,  6.25991e-39, 6.07824e-39
5,  3.20348e-39, 3.06739e-39
6,  0.00561e-39, 0.00646e-39
7,  1.49066e-39, 1.12230e-39
8,  6.13902e-39, 5.69926e-39
9,  7.72449e-39, 8.60414e-39
10, 8.93575e-39, 7.14150e-39
11, 2.72575e-39, 2.83461e-39
12, 0.00716e-39, 0.00717e-39
13, 1.04650e-39, 0.99414e-39
14, 5.30452e-39, 5.12763e-39
15, 8.43993e-39, 8.67201e-39
16, 8.49269e-39, 8.78866e-39
17, 4.64807e-39, 4.49102e-39
18, 0.01779e-39, 0.01835e-39
19, 1.35567e-39, 0.91020e-39
20, 3.11595e-39, 4.45913e-39
21, 8.51512e-39, 8.15819e-39
22, 9.65180e-39, 9.60319e-39
23, 5.99509e-39, 6.25350e-39
24, 2.54990e-39, 2.59738e-39
25, 0.01976e-39, 0.01968e-39
26, 0.63072e-39, 0.81126e-39
27, 4.66062e-39, 3.94407e-39
28, 7.13581e-39, 7.15319e-39
29, 8.90808e-39, 9.40248e-39
30, 6.71580e-39, 7.29501e-39
31, 3.06671e-39, 3.52456e-39
32, 1.42061e-39, 1.52487e-39
33, 0.00587e-39, 0.01207e-39
34, 1.18582e-39, 1.34454e-39
35, 6.03608e-39, 6.11606e-39
36, 6.27449e-39, 8.61161e-39
37, 6.07578e-39, 7.57860e-39
38, 3.34621e-39, 3.49364e-39
39, 1.41868e-39, 1.36119e-39
40, 0.00588e-39, 0.01427e-39
41, 0.82784e-39, 1.07287e-39
42, 3.51239e-39, 4.59777e-39
43, 5.67439e-39, 6.38110e-39
44, 6.20126e-39, 6.55067e-39
45, 3.96396e-39, 4.36342e-39
46, 3.14741e-39, 3.35184e-39
47, 2.45130e-39, 2.70565e-39
48, 2.65508e-39, 2.14104e-39
49, 0.99162e-39, 1.26269e-39
50, 0.02464e-39, 0.03155e-39
51, 0.85238e-39, 1.22814e-39
52, 3.48201e-39, 4.09948e-39
53, 2.19153e-39, 3.44083e-39
54, 1.67776e-39, 2.49947e-39
55, 1.92311e-39, 2.44176e-39
56, 2.93350e-39, 2.54261e-39
57, 2.25404e-39, 2.50539e-39
58, 0.09112e-39, 0.12164e-39
59, 3.62551e-39, 2.87663e-39
60, 6.12864e-39, 5.35162e-39
61, 3.50729e-39, 5.63787e-39
62, 0.06945e-39, 0.04142e-39
63, 2.18355e-39, 2.20814e-39
64, 8.33008e-39, 4.92768e-39
65,10.20246e-39, 9.23617e-39
66, 0.29217e-39, 0.29538e-39
67, 0.65775e-39, 1.47576e-39
68, 3.03620e-39, 3.32846e-39
69, 9.99114e-39, 7.14798e-39
70, 1.02818e-39, 0.83902e-39
